报告期末,期初笔数,期初金额(万元),新增贷款金额(万元),早偿金额(万元),正常还款金额(万元),拖欠1-30天金额(万元),拖欠31-60天金额(万元),拖欠61-90天金额(万元),拖欠91-120天金额(万元),拖欠120天以上金额(万元),还款本金(万元),利息金额(万元),费用金额(万元)
20210131,"634,112","8,768,530.81","814,491.84","43,200.53","368,559.61","653,768.94","2,828.62","1,584.69","1,542.01","4,213.04","427,138.44","38,509.70",90.59
20210228,"649,020","9,155,884.21","422,641.20","30,305.57","295,215.64","1,744,135.05","2,484.44","1,841.10","1,276.52","4,371.96","389,565.38","37,751.45",82.15
20210331,"654,103","9,188,960.04","570,522.35","58,859.53","470,147.30","86,070.28","2,388.37","1,360.31","1,510.33","3,349.00","543,205.04","50,577.20",107.17
20210430,"662,428","9,216,277.35","525,276.75","50,663.47","403,732.33","122,102.08","1,705.51","1,662.48","1,160.31","3,473.27","468,160.65","43,059.60",88.63
20210531,"668,867","9,273,393.45","559,809.75","44,114.85","383,872.77","136,020.78","2,673.56","1,171.43","1,292.74","3,548.68","462,231.87","43,254.66",71.2
20210630,"676,521","9,370,971.33","596,412.28","46,804.01","406,631.69","133,522.01","2,801.19","1,907.01",991,"3,309.11","468,406.51","43,793.17",72.25
20210731,"684,828","9,498,977.09","539,699.92","49,283.89","402,143.08","313,133.41","2,335.97","1,614.57","1,594.78","2,846.52","463,832.07","43,549.10",64.93
20210831,"688,608","9,574,844.94","529,675.31","51,782.50","425,824.13","98,972.56","3,083.81","1,509.24","1,337.16","3,232.04","490,061.67","45,691.74",71.72
20210930,"690,435","9,614,458.59","489,594.75","51,620.54","414,824.32","106,480.49","2,256.10","1,996.88","1,224.71","3,337.63","481,908.64","45,002.33",71.21
20211031,"690,093","9,622,144.70","440,166.71","49,999.46","341,010.01","645,597.26","3,478.35","1,443.85","1,732.48","3,121.60","447,387.33","42,466.32",178.81
20211130,"691,558","9,614,924.08","458,482.71","55,935.20","434,503.97","150,613.01","2,800.93","2,359.86","1,131.83","2,833.76","504,639.52","47,443.21",171.27
20211231,"687,169","9,568,767.27","408,012.97","55,736.43","415,833.48","77,064.21","2,873.82","1,720.36","1,675.33","2,678.77","485,368.59","45,626.83",173.78
20220131,"678,805","9,491,411.65","845,136.28","44,207.65","398,635.93","283,374.17","3,619.33","1,864.88","1,553.67","2,764.17","458,530.33","44,083.78",171.63
20220228,"691,912","9,878,017.60","244,645.42","42,079.36","349,310.63","300,938.14","3,639.40","2,305.01","1,428.32","3,478.59","451,228.77","47,063.40",166.05
20220331,"691,600","9,671,434.25","306,806.56","51,832.90","475,908.02","72,864.84","3,985.74","2,430.93","1,891.01","3,370.60","542,817.99","47,512.18",196.26
20220430,"684,938","9,435,422.82","206,952.10","38,403.30","503,892.15","558,270.51","3,159.66","2,600.36","2,010.18","3,812.05","560,059.77","43,263.21",170.24
20220531,"670,859","9,082,315.15","285,626.09","39,003.39","555,390.56","86,044.33","5,125.60","2,070.05","2,127.67","4,400.42","609,693.95","46,450.45","1,578.05"
20220630,"659,914","8,758,247.28","340,746.36","44,841.32","464,877.19","115,535.38","3,206.09","2,649.01","1,553.52","4,200.88","524,479.68","43,165.60","1,303.34"
20220731,"653,718","8,574,513.96","293,801.44","44,269.48","402,778.09","528,078.94","3,791.78","2,109.33","2,287.39","3,808.69","458,270.17","40,628.96",998.64
20220831,"649,411","8,410,045.24","274,072.98","47,816.48","442,616.30","77,877.87","3,672.81","2,651.53","1,809.01","3,708.07","501,812.59","44,138.77","1,413.18"
20220930,"639,838","8,182,305.63","295,799.16","45,844.55","412,536.86","93,316.16","3,697.94","2,402.92","2,248.60","3,890.98","470,442.48","40,971.33","1,232.35"
20221031,"630,396","8,007,662.31","199,635.57","42,533.47","381,110.10","115,795.26","4,037.44","2,556.71","2,033.16","4,072.91","437,643.34","39,930.45",972.6
20221130,"620,415","7,769,654.54","202,538.30","45,195.57","388,528.48","123,845.52","4,368.52","2,151.90","2,028.66","3,942.60","445,064.85","38,897.30","1,166.83"
20221231,"607,117","7,527,127.99","233,339.11","39,209.94","386,397.58","249,424.21","4,455.24","1,992.16","1,792.95","3,654.78","438,961.88","37,118.92","1,215.77"
20230131,"589,808","7,321,505.21","161,249.59","35,241.34","386,277.40","81,332.29","5,174.58","3,060.07","1,608.01","3,364.40","439,794.55","37,436.78","1,288.85"
20230228,"567,941","7,042,960.25","142,655.56","56,896.25","329,262.77","201,900.60","3,256.41","2,365.00","2,392.71","3,157.04","395,169.14","34,770.01","1,032.07"
20230331,"565,192","6,790,446.67","191,877.78","58,000.57","352,530.99","63,864.91","3,641.71","1,883.05","1,807.80","3,526.70","420,566.86","34,862.38","1,115.83"
