静态池期末,报告期末,期初笔数,期初金额(万元),早偿金额(万元),正常还款金额(万元),拖欠1-30天金额(万元),拖欠31-60天金额(万元),拖欠61-90天金额(万元),拖欠91-120天金额(万元),拖欠120天以上金额(万元),还款本金(万元),利息金额(万元),费用金额(万元)
20210331,20210331,0,0.00,218.86,7.67,0.00,0.00,0.00,0.00,0.00,226.52,1.68,0.38
20210331,20210430,"25,816","570,295.83",972.43,"13,504.03","8,707.67",0.00,0.00,0.00,0.00,"14,772.90","2,601.06",0.99
20210331,20210531,"25,764","555,522.93",660.84,"12,541.44","6,841.63",0.00,0.00,0.00,0.00,"14,704.87","2,570.39",0.73
20210331,20210630,"25,733","540,818.05",872.46,"13,756.32","7,588.63",22.94,0.00,0.00,0.00,"14,912.95","2,497.85",0.78
20210331,20210731,"25,691","525,905.10","1,454.82","13,503.91","21,474.42",0.00,22.94,0.00,0.00,"15,192.40","2,373.24",0.52
20210331,20210831,"25,628","510,712.70","1,240.83","14,320.96","5,154.65",23.26,0.00,22.94,0.00,"15,795.49","2,440.60",2.38
20210331,20210930,"25,562","494,917.21","1,257.28","13,840.05","5,244.49",31.00,23.26,0.00,22.94,"15,421.28","2,301.25",0.56
20210331,20211031,"25,494","479,495.93","1,484.21","10,576.02","44,137.84",80.43,31.00,0.00,22.94,"14,482.01","2,043.69",4.14
20210331,20211130,"25,416","465,013.92","1,535.72","14,985.99","7,899.87",103.32,80.43,31.00,0.00,"16,812.56","2,324.67",3.34
20210331,20211231,"25,329","448,201.36","1,774.14","14,046.59","4,212.11",74.57,59.33,80.43,31.00,"16,082.99","2,107.59",1.20
20210331,20220131,"25,232","432,118.36","1,165.07","13,415.09","18,459.76",115.97,50.49,59.33,111.44,"14,928.85","1,949.40",7.53
20210331,20220228,"25,160","417,189.52","1,293.17","11,904.72","13,069.34",62.45,81.67,27.84,139.76,"15,675.34","1,967.83",4.66
20210331,20220331,"25,076","401,514.18","2,091.69","14,758.13","4,198.52",48.03,62.45,59.02,114.72,"17,226.92","1,919.04",6.19
20210331,20220430,"24,929","384,287.26","1,427.25","12,746.88","35,609.94",77.29,21.69,62.45,97.66,"14,567.88","1,657.41",6.03
20210331,20220531,"24,833","369,719.38","1,307.62","15,038.05","4,239.89",48.94,54.94,43.90,136.99,"16,655.69","1,874.17",75.64
